"@appsterdamrs,TheAppsterdamDelfteventonInvestorsistomorrownight!Dontmissithttp://tco/4YBwTSPJ,Thu,15Nov201222:47:21+0000,https://twittercom/appsterdamrs/status/269210006287708160"
"@AppsterdamGR,RT@appsterdamrs:2spotsleftfortheBrainstormdayattheMuseumofLiterature!RSVP@http://tco/mLqj5bUZ,Thu,15Nov201215:45:59+0000,https://twittercom/AppsterdamGR/status/269103964853772289"
"@appsterdamrs,2spotsleftfortheBrainstormdayattheMuseumofLiterature!RSVP@http://tco/mLqj5bUZ,Thu,15Nov201214:48:34+0000,https://twittercom/appsterdamrs/status/269089517061939200"
"@MariaNovkovic,RT@UNDP_Europe_CIS:http://tco/xJAjFrGM-thecatalystfor#opendataprojectsHT@jansendings,Thu,15Nov201212:41:52+0000,https://twittercom/MariaNovkovic/status/269057628016099328"
"@UNDP_Europe_CIS,http://tco/xJAjFrGM-thecatalystfor#opendataprojectsHT@jansendings,Thu,15Nov201212:39:47+0000,https://twittercom/UNDP_Europe_CIS/status/269057105384841217"
"@judykitteh,RT@appsterdamrs:3spotsleftfortheBrainstormdayattheMuseumofLiterature!RSVPnowhttp://tco/mLqj5bUZ,Thu,15Nov201212:08:57+0000,https://twittercom/judykitteh/status/269049347696631808"
"@appsterdam,RT@Health2Ams:@appsterdamrsanyhealthenthusiastsinyourcrowd?PleaseRTourHealth20chaptereventonNov27thhttp://tco/m7UKo8bb,Thu,15Nov201211:15:18+0000,https://twittercom/appsterdam/status/269035844952788992"
"@cspr72,Somuchtocover:@EelcoKaper:Discussionallovertheplace!;0RT@cspr72:AppreneurDay:http://tco/JDMf885u,Thu,15Nov201210:38:32+0000,https://twittercom/cspr72/status/269026590770466817"
"@shanezilla,@paranoidroid@pyrokinetic@joshjet@judykittehThatsanawesomeshotHavefuninAppsterdam,Thu,15Nov201201:09:56+0000,https://twittercom/shanezilla/status/268883500051091456"
"@mgilbir,RT@sla_shalafi:WanttolearnAndroid?LiveintheNetherlands?Youmustcheckoutthiscoursehttp://tco/cZWQOGRm#appsterdam,Wed,14Nov201223:53:18+0000,https://twittercom/mgilbir/status/268864213911486464"
"@laurensbon,RT@paranoidroid:Panoramaover#AppsterdamHQ-Rijksmuseuminthebackground,w/@pyrokinetic@joshjet@judykittehhttp://tco/YdLdE63B,Wed,14Nov201223:30:35+0000,https://twittercom/laurensbon/status/268858495279984640"
"@judykitteh,RT@paranoidroid:Panoramaover#AppsterdamHQ-Rijksmuseuminthebackground,w/@pyrokinetic@joshjet@judykittehhttp://tco/YdLdE63B,Wed,14Nov201223:12:24+0000,https://twittercom/judykitteh/status/268853922817531904"
"@joshjet,RT@paranoidroid:Panoramaover#AppsterdamHQ-Rijksmuseuminthebackground,w/@pyrokinetic@joshjet@judykittehhttp://tco/YdLdE63B,Wed,14Nov201223:09:45+0000,https://twittercom/joshjet/status/268853254102847490"
"@pyrokinetic,RT@paranoidroid:Panoramaover#AppsterdamHQ-Rijksmuseuminthebackground,w/@pyrokinetic@joshjet@judykittehhttp://tco/YdLdE63B,Wed,14Nov201223:07:02+0000,https://twittercom/pyrokinetic/status/268852571282735105"
"@paranoidroid,Panoramaover#AppsterdamHQ-Rijksmuseuminthebackground,w/@pyrokinetic@joshjet@judykittehhttp://tco/YdLdE63B,Wed,14Nov201223:06:49+0000,https://twittercom/paranoidroid/status/268852508733104129"
